,Symbol,Name,Market sector,Market segment,Profit - pre tax (m),Profit - retained (m),Turnover (m),Attributable Profit,Market segment
1,"0RYA","Ryanair Holdings Plc",GE10,GES1,,,,,
2,"1SN","First Tin Plc",SQS3,SSQ3,,,,,
3,"32ID","Renold 6%pf.",AIMP,ASX1,,,,,
4,"3IN","3i Infrastructure Plc",F25F,STMM,404.00,314.00,,404.00,
5,450,"450 Plc",AMQ1,ASQ1,404.00,314.00,,404.00,
6,"46HA","Investec 3h%pf",STBL,MISL,404.00,314.00,,404.00,
7,"47HA","Investec 5%pf",STBL,MISL,404.00,314.00,,404.00,
8,"4BB","4basebio Plc",AMQ1,ASQ1,"-3.64","-3.84",0.34,"-3.84",
9,"4GBL","4global Plc",AMQ1,ASQ1,"-1.89","-1.66",3.64,"-1.66",
10,"72GU","Fish&ross3 1/2%",STBL,MISL,"-1.89","-1.66",3.64,"-1.66",
11,"7DIG","7digital Group Plc",AIMP,ASX1,"-3.92","-3.92",6.73,"-3.92",
12,888,"888 Holdings Plc",SSC5,SSMM,60.12,5.62,724.76,50.95,
13,"88E","88 Energy Limited",AMQ1,ASQ1,"-1.30","-1.30",2.39,"-1.30",
14,"8PG","Eight Peaks Group Plc",AIMP,ASX1,"-1.30","-1.30",2.39,"-1.30",
15,"AA.","Aa Plc",ON10,SET3,107.00,75.00,995.00,87.00,
16,"AA4","Amedeo Air Four Plus Limited",SFQQ,SFM2,24.68,24.75,190.03,24.75,
17,"AAA","All Active Asset Capital Limited",AMQ1,ASQ1,"-1.99","-1.99",,"-1.99",
18,"AAAP","Anglo African Agriculture Plc",SQS3,SSQ3,"-0.58","-0.58",1.40,"-0.58",
19,"AADV","Albion Development Vct Plc",SQQ3,SSQ3,0.02,"-3.23",,0.02,
20,"AAEV","Albion Enterprise Vct Plc",SQQ3,SSQ3,0.14,"-3.66",0.89,0.14,
21,"AAF","Airtel Africa Plc",FS10,SET1,931.05,351.43,3593.37,479.98,
22,"AAIF","Abrdn Asian Income Fund Limited",SSC5,SSMM,14.57,"-3.27",16.94,13.09,
23,"AAL","Anglo American Plc",FE10,SET1,1303.62,6331.37,30728.05,6331.37,
24,"AAM","Artemis Vct Plc",SQQ3,SSQ3,"-0.10","-6.45",0.26,"-0.10",
25,"AAOG","Anglo African Oil & Gas Plc",AMQ1,ASQ1,"-11.69","-11.83",0.13,"-11.83",
26,"AAS","Abrdn Asia Focus Plc",SSC6,SSMM,2.94,"-3.66",9.62,2.39,
